DATE,Share_Prices,CPI,Prod_Vol,Intr_Rate,Intr_10Y,Total Reserves,Exchange,Exports,Imports,^FTSE,Real GDP,M1,Unemp,Emp
2/1/03,55.25437,76.1,107.3196,4.2131,4.2131,46225.0243,1.6079,15146390000,19356890000,3643.91001,,543957,5.2,72.7
3/1/03,55.16339,76.4,107.0037,4.3243,4.3243,45480.98876,1.5825,15465940000,19303440000,3637.90954,,560638,5.1,72.7
4/1/03,58.61187,76.8,106.4771,4.4663,4.4663,45373.23691,1.5739,16420150000,19227630000,3862.949988,481552,552705,5,72.8
5/1/03,60.44756,76.8,105.1079,4.2197,4.2197,47555.60591,1.6224,15287640000,19696220000,3988.41499,,567765,4.9,72.9
6/1/03,62.46885,76.7,105.7399,4.1127,4.1127,48303.48434,1.6609,14386380000,19284470000,4119.699974,,572362,5.1,72.8
7/1/03,61.85336,76.6,106.3718,4.4078,4.4078,48490.57826,1.6221,15540160000,19260420000,4079.108727,485973,561559,5.1,72.8
8/1/03,63.41202,76.8,106.5824,4.604,4.604,48336.90227,1.5939,16118240000,19598530000,4179.699976,,567110,5,72.8
9/1/03,64.21674,77,106.7931,4.7132,4.7132,50520.94139,1.6155,15395870000,20100200000,4234.963679,,584193,5,72.8
10/1/03,65.05786,77.1,108.6888,4.9071,4.9071,49768.26754,1.6792,15567960000,20263040000,4290.430452,490059,583603,4.9,72.8
11/1/03,65.95235,77.1,107.2143,5.065,5.065,50481.7301,1.6897,15411740000,20266200000,4349.444971,,593071,4.9,72.8
12/1/03,66.67201,77.3,107.2143,4.896,4.896,52147.82167,1.7516,15516140000,20007920000,4392.33331,,593848,4.8,73
1/1/04,67.79669,77,108.5835,4.7875,4.7875,49667.69159,1.8255,15012830000,20505010000,4470.776204,492014,599204,4.8,73
2/1/04,67.37318,77.2,108.2675,4.8056,4.8056,49835.44378,1.8673,15294240000,19592640000,4443.13501,,599676,4.8,73
3/1/04,67.42761,77.3,108.3728,4.7088,4.7088,52864.26951,1.8261,15197770000,19714460000,4446.713039,,621874,4.8,73
4/1/04,68.43538,77.6,108.8994,4.957,4.957,51561.63502,1.8031,15323000000,20557590000,4515.52002,494824,621945,4.8,72.9
5/1/04,67.53452,77.9,107.3196,5.1118,5.1118,52181.21678,1.786,15370710000,20883290000,4453.078947,,622445,4.8,72.9
6/1/04,67.90693,77.9,107.109,5.2,5.2,51889.8045,1.8279,15512940000,20488470000,4478.331854,,642165,4.8,72.8
7/1/04,66.15358,77.7,106.6877,5.1083,5.1083,52539.53648,1.8438,15684040000,21105300000,4362.700018,496642,636944,4.7,72.8
8/1/04,66.53008,77.9,105.1079,5.0071,5.0071,52067.98305,1.8203,15691850000,21308750000,4382.647647,,647188,4.7,72.9
9/1/04,69.15671,77.9,104.792,4.9109,4.9109,52389.79291,1.7937,16091050000,21176080000,4560.745428,,655331,4.7,72.9
10/1/04,70.43696,78.1,104.792,4.7683,4.7683,53839.14699,1.8077,16107530000,22425600000,4645.18571,499020,657842,4.7,73
11/1/04,71.93784,78.3,105.5292,4.6903,4.6903,57069.26023,1.8607,16382680000,21568490000,4744.163596,,672219,4.7,73
12/1/04,72.03959,78.6,105.0026,4.5316,4.5316,57741.09262,1.9286,16662660000,21546300000,4746.376186,,669244,4.7,73.1
1/1/05,73.1776,78.3,105.6345,4.5419,4.5419,54163.70032,1.8797,16301870000,21967890000,4826.489966,502702,675506,4.8,73.2
2/1/05,75.80225,78.5,105.2133,4.5884,4.5884,54686.65594,1.8871,16122620000,21484750000,4999.009985,,677996,4.7,73.1
3/1/05,75.18692,78.8,103.5282,4.796,4.796,57808.04674,1.9043,16244790000,21622580000,4961.84761,,696570,4.7,72.9
4/1/05,74.11638,79.1,106.2665,4.6218,4.6218,56417.99411,1.8961,16753190000,22459720000,4887.823823,506906,686966,4.8,72.9
5/1/05,74.69122,79.4,105.6345,4.4173,4.4173,55382.46919,1.8559,16965760000,21853590000,4928.924927,,710084,4.8,72.9
6/1/05,76.57999,79.4,106.4771,4.2847,4.2847,56148.70829,1.8177,17837520000,21952020000,5050.304532,,716384,4.7,73
7/1/05,79.2753,79.5,105.2133,4.3011,4.3011,56057.96497,1.7507,17755770000,22702730000,5228.052409,511132,713824,4.7,73
8/1/05,80.47882,79.7,104.3707,4.3249,4.3249,57170.77899,1.7944,18046850000,23209940000,5311.018177,,720320,4.7,73
9/1/05,81.77,79.9,105.8452,4.2109,4.2109,55785.51692,1.8064,18649340000,23230300000,5392.568182,,735656,4.9,72.9
10/1/05,80.25925,80,104.792,4.3482,4.3482,54247.99096,1.7651,19044380000,23320670000,5292.938081,515935,735231,5.1,72.8
11/1/05,82.76517,80,106.1611,4.3129,4.3129,54295.5802,1.7349,18957750000,23464460000,5458.190896,,751444,5.1,72.7
12/1/05,84.18204,80.3,109.742,4.2186,4.2186,54008.87838,1.7458,19531010000,24463170000,5547.244946,,756281,5.1,72.8
1/1/06,86.53724,80,108.2675,4.0752,4.0752,54296.30745,1.7686,20221360000,25018450000,5711.152367,518495,749760,5.2,72.8
2/1/06,88.05025,80.2,108.1622,4.1543,4.1543,52478.34937,1.748,21558540000,25594850000,5806.739966,,760417,5.2,72.9
3/1/06,90.05289,80.4,109.426,4.3177,4.3177,54798.11156,1.7442,22834640000,25056460000,5938.817383,,778594,5.3,72.9
4/1/06,91.76788,80.9,109.6367,4.5177,4.5177,57396.03835,1.768,23242790000,25557970000,6054.405572,520318,774343,5.4,72.8
5/1/06,88.72609,81.3,110.5845,4.6488,4.6488,60313.30808,1.8687,23033090000,26325480000,5845.99528,,785442,5.5,72.8
6/1/06,85.94738,81.5,111.2164,4.6645,4.6645,56896.69375,1.8435,22425960000,25773280000,5668.050004,,789344,5.5,72.9
7/1/06,88.45876,81.5,110.0579,4.656,4.656,55910.17264,1.8443,18287320000,25098170000,5833.671433,521780,789999,5.5,73
8/1/06,89.12746,81.8,111.0058,4.6535,4.6535,56535.49182,1.8941,18359290000,24689550000,5877.727251,,793105,5.5,72.8
9/1/06,89.40541,81.9,111.3217,4.5522,4.5522,56221.49646,1.8839,18316850000,24955690000,5896.109515,,802905,5.5,72.8
10/1/06,92.51802,82,110.1632,4.6155,4.6155,56028.78296,1.8765,17875880000,24282770000,6101.377264,524569,809591,5.4,72.7
11/1/06,93.52457,82.2,110.9005,4.5452,4.5452,57949.82547,1.9125,18195260000,24704630000,6167.759078,,821970,5.5,72.7
12/1/06,93.60903,82.6,110.1632,4.6195,4.6195,57482.62954,1.9629,18184720000,25199410000,6171.578922,,836518,5.5,72.6
1/1/07,94.57525,82.1,110.5845,4.8694,4.8694,55103.9932,1.9587,17724310000,24226900000,6237.790927,529398,822779,5.5,72.5
2/1/07,96.48055,82.4,109.1101,4.896,4.896,57552.62878,1.9589,17634200000,25128270000,6362.689966,,828880,5.5,72.5
3/1/07,94.10018,82.8,108.7941,4.8194,4.8194,61357.59426,1.9474,17839790000,25427210000,6205.70914,,850238,5.5,72.5
