Date,^FTSE
2016-04-01,6271.895205543155
2016-05-01,6164.894946289062
2016-06-01,6175.304554332386
2016-07-01,6655.876162574405
2016-08-01,6821.69999556108
2016-09-01,6813.754505504261
2016-10-01,7011.209519159226
2016-11-01,6803.33183149858
2016-12-01,6961.0350341796875
2017-01-01,7211.357119605655
2017-02-01,7240.429956054688
2017-03-01,7359.534774116848
2017-04-01,7263.605604383681
2017-05-01,7422.652390252976
2017-06-01,7463.97265625
2017-07-01,7395.847586495535
2017-08-01,7409.186368075284
2017-09-01,7334.6523670014885
2017-10-01,7508.177268288352
2017-11-01,7441.236394708807
2017-12-01,7481.752646998355
2018-01-01,7695.636341441761
2018-02-01,7255.909985351563
2018-03-01,7090.085704985119
2018-04-01,7288.219970703125
2018-05-01,7690.228608630952
2018-06-01,7656.933244977678
2018-07-01,7651.077215021307
2018-08-01,7605.609108664773
2018-09-01,7385.915014648437
2018-10-01,7137.034774116848
2018-11-01,7040.81815962358
2018-12-01,6790.900030838816
2019-01-01,6861.590931285511
2019-02-01,7147.315087890625
2019-03-01,7204.561918712798
2019-04-01,7434.209985351563
2019-05-01,7275.271437872024
2019-06-01,7359.3099609375
2019-07-01,7549.256538722826
2019-08-01,7203.500046502976
2019-09-01,7319.957147507441
2019-10-01,7221.273883322011
2019-11-01,7348.333310081845
2019-12-01,7403.669946289063
2020-01-01,7558.004527698864
2020-02-01,7313.4449462890625
2020-03-01,5741.890935724432
2020-04-01,5729.350024414062
2020-05-01,5956.321006373355
2020-06-01,6244.62275834517
2020-07-01,6167.365191915761
2020-08-01,6073.77001953125
2020-09-01,5933.018132990057
2020-10-01,5851.5
2020-11-01,6222.542829241072
2020-12-01,6522.159936523438
2021-01-01,6698.539990234375
2021-02-01,6583.575
2021-03-01,6713.591351052989
2021-04-01,6923.080004882812
2021-05-01,7024.07373046875
2021-06-01,7097.418212890625
2021-07-01,7047.627263849432
2021-08-01,7138.514299665178
2021-09-01,7065.090909090909
2021-10-01,7163.1142810639885
2021-11-01,7264.772727272727
2021-12-01,7280.233305431548
2022-01-01,7501.0
2022-02-01,7535.4099609375
2022-03-01,7314.830481487772
2022-04-01,7554.636872944079
2022-05-01,7447.514276413691
2022-06-01,7275.524951171875
2022-07-01,7225.804734002976
2022-08-01,7468.186390269886
2022-09-01,7186.585728236607
2022-10-01,6971.957170758928
2022-11-01,7367.93184037642
2022-12-01,7473.8900390625
2023-01-01,7746.876232328869
2023-02-01,7915.005029296875
2023-03-01,7637.986922554348
2023-04-01,7827.794460720486
2023-05-01,7705.580029296875
2023-06-01,7556.863636363636
2023-07-01,7512.647623697917
2023-08-01,7448.1318359375
2023-09-01,7576.014322916667
2023-10-01,7481.522771661932
2023-11-01,7442.445467862216
2023-12-01,7606.242110402961
2024-01-01,7598.363658558239
2024-02-01,7638.828566778274
2024-03-01,7770.2650146484375
2024-04-01,7978.299967447917
2024-05-01,8330.923804873511
2024-06-01,8216.1099609375
2024-07-01,8205.656589673914
2024-08-01,8253.971493675595
2024-09-01,8266.404808407739
2024-10-01,8267.430388077446
2024-11-01,8158.4809337797615
2024-12-01,8240.478901110197
