Date,^GDAXI
2009-07-01,4949.607358186141
2009-08-01,5395.204287574405
2009-09-01,5583.973166725852
2009-10-01,5680.036865234375
2009-11-01,5642.160016741072
2009-12-01,5836.550463867187
2010-01-01,5863.22099609375
2010-02-01,5586.021997070313
2010-03-01,5965.046959918478
2010-04-01,6215.292016601563
2010-05-01,5966.352887834822
2010-06-01,6080.795920632102
2010-07-01,6061.310458096591
2010-08-01,6122.403653231534
2010-09-01,6214.873646129261
2010-10-01,6436.313244047619
2010-11-01,6744.414528586648
2010-12-01,6991.864327566965
2011-01-01,7039.681408110119
2011-02-01,7294.155493164062
2011-03-01,6952.815641983696
2011-04-01,7227.048982319079
2011-05-01,7330.603182705966
2011-06-01,7158.676824396307
2011-07-01,7292.776227678572
2011-08-01,5923.825641134511
2011-09-01,5402.265469637784
2011-10-01,5896.5384765625
2011-11-01,5826.460471413352
2011-12-01,5867.767578125
2012-01-01,6278.337735262784
2012-02-01,6789.551432291667
2012-03-01,6966.535888671875
2012-04-01,6731.917351973684
2012-05-01,6424.774569424716
2012-06-01,6184.003836495535
2012-07-01,6549.640469637784
2012-08-01,6949.78220533288
2012-09-01,7274.395971679687
2012-10-01,7286.619540127841
2012-11-01,7238.576349431818
2012-12-01,7576.161764705882
2013-01-01,7747.565451882102
2013-02-01,7666.718041992188
2013-03-01,7913.8775634765625
2013-04-01,7723.049944196428
2013-05-01,8317.427756569603
2013-06-01,8089.147534179688
2013-07-01,8161.835173233696
2013-08-01,8332.462357954546
2013-09-01,8497.838588169643
2013-10-01,8809.700417258522
2013-11-01,9170.552548363095
2013-12-01,9235.013943142361
2014-01-01,9516.7841796875
2014-02-01,9507.993505859375
2014-03-01,9339.498604910714
2014-04-01,9489.905517578125
2014-05-01,9709.517578125
2014-06-01,9927.434384300595
2014-07-01,9751.789444633152
2014-08-01,9273.08045014881
2014-09-01,9638.6767578125
2014-10-01,8971.84716796875
2014-11-01,9490.321484375
2014-12-01,9812.338918585527
2015-01-01,10138.389601934523
2015-02-01,10977.139599609374
2015-03-01,11784.850452769886
2015-04-01,11956.288037109374
2015-05-01,11599.093698601973
2015-06-01,11236.29580965909
2015-07-01,11288.050441576086
2015-08-01,10817.977632068452
2015-09-01,9953.261896306818
2015-10-01,10222.30948153409
2015-11-01,10986.275809151786
2015-12-01,10673.0138671875
2016-01-01,9827.091943359375
2016-02-01,9291.378627232143
2016-03-01,9859.880440848214
2016-04-01,10023.21665736607
2016-05-01,10010.547665550595
2016-06-01,9859.148659446022
2016-07-01,9960.520972842261
2016-08-01,10530.252590013586
2016-09-01,10504.490900213068
2016-10-01,10624.158544921875
2016-11-01,10595.529962713068
2016-12-01,11214.89760044643
2017-01-01,11620.112171519886
2017-02-01,11745.425
2017-03-01,12047.632175611414
2017-04-01,12232.555555555555
2017-05-01,12661.0458984375
2017-06-01,12710.548642113095
2017-07-01,12397.47084263393
2017-08-01,12153.80519701087
2017-09-01,12479.53380766369
2017-10-01,13012.0775390625
2017-11-01,13159.374556107954
2017-12-01,13079.901572779605
2018-01-01,13270.667302911932
2018-02-01,12459.3640625
2018-03-01,12165.93908110119
2018-04-01,12411.59755859375
2018-05-01,12911.162295386905
2018-06-01,12667.554268973214
2018-07-01,12581.671830610796
2018-08-01,12458.920813519022
2018-09-01,12185.244970703125
2018-10-01,11659.083629261364
2018-11-01,11359.62508877841
2018-12-01,10834.544692095587
2019-01-01,10968.887340198864
2019-02-01,11280.836474609376
2019-03-01,11542.59193638393
2019-04-01,12067.97802734375
2019-05-01,12079.569557883522
2019-06-01,12164.201017680922
2019-07-01,12406.857421875
2019-08-01,11719.74951171875
2019-09-01,12285.253441220239
2019-10-01,12538.201837713068
2019-11-01,13200.829520089286
2019-12-01,13193.275607638889
2020-01-01,13370.52352627841
2020-02-01,13330.550537109375
2020-03-01,10034.25674715909
2020-04-01,10374.506982421875
2020-05-01,10993.741015625
2020-06-01,12313.64806547619
2020-07-01,12740.95609714674
2020-08-01,12882.407645089286
2020-09-01,12960.89639559659
2020-10-01,12603.100896661932
2020-11-01,12960.69140625
2020-12-01,13425.95009765625
2021-01-01,13823.258984375
2021-02-01,13951.163916015625
2021-03-01,14508.14262058424
2021-04-01,15236.42744140625
2021-05-01,15305.75
2021-06-01,15618.97403231534
2021-07-01,15573.488991477272
2021-08-01,15816.081365411932
2021-09-01,15584.468616832386
2021-10-01,15401.868071056548
2021-11-01,15938.779651988636
2021-12-01,15587.753348214286
2022-01-01,15762.909970238095
2022-02-01,15095.82490234375
2022-03-01,14012.71042798913
2022-04-01,14166.986996299342
2022-05-01,13991.862260298296
2022-06-01,13601.01131924716
2022-07-01,12981.4052734375
2022-08-01,13449.552097486414
2022-09-01,12692.554154829546
2022-10-01,12673.459170386905
2022-11-01,14068.89999112216
2022-12-01,14168.920944940477
2023-01-01,14896.36172762784
2023-02-01,15404.176953125
2023-03-01,15262.70949388587
2023-04-01,15760.991644965277
2023-05-01,15932.643243963068
2023-06-01,16041.180042613636
2023-07-01,16069.68810453869
2023-08-01,15829.473080842392
2023-09-01,15637.992001488095
2023-10-01,15059.187721946022
2023-11-01,15631.793146306818
2023-12-01,16681.726459703947
2024-01-01,16704.547318892044
2024-02-01,17137.254743303572
2024-03-01,18000.54453125
2024-04-01,18045.728701636905
2024-05-01,18577.892223011364
2024-06-01,18317.66494140625
2024-07-01,18414.577955163044
2024-08-01,18165.501953125
2024-09-01,18761.79334077381
2024-10-01,19334.973335597828
2024-11-01,19236.87658110119
2024-12-01,20179.55447048611
